	Lat	Lon	ps (cm)
	15.0	127.5	12.286832564271572
	15.0	127.75	11.625563612392876
	15.0	128.0	11.126041529334243
	15.0	128.25	11.110461437046846
	15.0	128.5	11.329917600527347
	15.0	128.75	11.701862228081716
	15.0	129.0	11.919248516809418
	15.0	129.25	12.336173368490474
	15.0	129.5	12.336173368490474
	15.0	129.75	12.896150296638144
	15.0	130.0	13.33574159525376
	15.0	130.25	13.534785761371127
	15.0	130.5	13.00857284113394
	15.0	130.75	12.451061305207674
	15.0	131.0	12.504456163480606
	15.0	131.25	12.93492419248513
	15.0	131.5	13.17382333553058
	15.0	131.75	13.126651285431743
	15.0	132.0	12.607636783124672
	15.0	132.25	11.892524719841807
	15.0	132.5	11.386344759393552
	15.0	132.75	10.942653263019093
	15.0	133.0	10.578424522083044
	15.0	133.25	10.169581410678946
	15.0	133.5	9.595665787738934
	15.0	133.75	9.024238628872794
	15.0	134.0	8.45470665787741
	15.0	134.25	7.8052603823335795
	15.0	134.5	6.692738958470669
	15.0	134.75	5.211097560975613
	15.0	135.0	2.576173368490439
	15.0	135.25	0.8415589980224123
	15.0	135.5	0.08540210942649966
	15.0	135.75	0.017481872116018458
	15.0	136.0	0.01549439683586025
	15.0	136.25	0.002854317732366513
	15.0	136.5	0.0019314436387607118
	15.0	136.75	0.003586025049439683
	15.0	137.0	0.004301252471984179
	15.0	137.25	0.015352669742913647
	15.0	137.5	0.05229400131839154
	15.0	137.75	0.06197758734344099
	15.0	138.0	0.043358602504943965
	15.0	138.25	0.00469017798286091
	15.0	138.5	0.0015095583388266315
	15.0	138.75	0.000932762030323006
	15.0	139.0	0.0016842452208305865
	15.0	139.25	0.0032893869479235327
	15.0	139.5	0.0033256427158866184
	15.0	139.75	0.003909030982201714
	15.0	140.0	0.004073829927488465
	15.25	60.0	6.383859591298605
	15.25	60.25	6.419176005273551
	15.25	60.5	6.641074489123263
	15.25	60.75	7.121252471984183
	15.25	61.0	7.593740936057999
	15.25	61.25	7.485385629531996
	15.25	61.5	7.214436387607115
	15.25	61.75	7.208015820698714
	15.25	62.0	7.4677752142386025
	15.25	62.25	7.455929466051409
	15.25	62.5	7.544311140408711
	15.25	62.75	7.574087013843116
	15.25	63.0	7.6594759393539755
	15.25	63.25	7.667771918259716
	15.25	63.5	7.681875411997347
	15.25	63.75	7.342607119314409
	15.25	64.0	6.982218193803549
	15.25	64.25	6.953869479235317
	15.25	64.5	6.754419907712585
	15.25	64.75	6.7812458800263915
	15.25	65.0	7.180402109426496
	15.25	65.25	7.458714568226768
	15.25	65.5	7.2805240606460435
	15.25	65.75	6.932079762689546
	15.25	66.0	6.9063150955834125
	15.25	66.25	6.958566249176021
	15.25	66.5	6.943253131179974
	15.25	66.75	7.0430751483190335
	15.25	67.0	7.099472643375093
	15.25	67.25	7.241005273566263
	15.25	67.5	7.300158206987467
	15.25	67.75	7.187537903757395
	15.25	68.0	7.059808833223473
	15.25	68.25	7.077827949901126
	15.25	68.5	7.3361931443638815
	15.25	68.75	7.55685563612394
	15.25	69.0	7.672722478576113
	15.25	69.25	8.020883322346728
	15.25	69.5	8.222916941331576
	15.25	69.75	8.289429795649319
	15.25	70.0	8.188711272247826
	15.25	70.25	8.104146341463451
	15.25	70.5	7.893592617007257
	15.25	70.75	7.751400791034973
	15.25	71.0	7.64311470006592
	15.25	71.25	7.591348055372442
	15.25	71.5	7.490151615029646
	15.25	71.75	7.590810810810827
	15.25	72.0	7.837544495715233
	15.25	72.25	8.077066578773934
	15.25	72.5	8.161984179301262
	15.25	72.75	8.161984179301262
	15.25	73.0	7.912649967040221
	15.25	73.25	7.740441661173346
	15.25	73.5	7.739212261041513
	15.25	73.75	7.925382333553067
	15.25	74.0	8.194765985497689
	15.25	74.25	8.370886618325615
	15.25	74.5	8.33412656559
	15.25	74.75	8.22769940672381
	15.25	75.0	8.25948912326962
	15.25	75.25	8.120662491760047
	15.25	75.5	8.119522083058655
	15.25	75.75	8.07932432432435
	15.25	76.0	8.084756097560955
	15.25	76.25	7.956522742254445
	15.25	76.5	7.368764007910359
	15.25	76.75	6.701203032300572
	15.25	77.0	6.141427158866151
	15.25	77.25	5.445065919578109
	15.25	77.5	5.622290705339457
	15.25	77.75	6.443955174686905
	15.25	78.0	7.37647659854978
	15.25	78.25	7.970207646671066
	15.25	78.5	8.593384970336196
	15.25	78.75	9.206028345418595
	15.25	79.0	9.22615029663811
	15.25	79.25	9.662518127883994
	15.25	79.5	9.884271588661832
	15.25	79.75	9.999021094265053
	15.25	80.0	10.02292353328943
	15.25	80.25	9.982851021753456
	15.25	80.5	9.948272907053372
	15.25	80.75	9.720379037574089
	15.25	81.0	9.563833223467372
	15.25	81.25	9.35563941990769
	15.25	81.5	9.127366512854284
	15.25	81.75	8.729848384970309
	15.25	82.0	7.9854383651945025
	15.25	82.25	6.510471324983518
	15.25	82.5	5.278615688859589
	15.25	82.75	5.068075148319065
	15.25	83.0	5.716783124587992
	15.25	83.25	6.705504284772568
	15.25	83.5	7.249653922214896
	15.25	83.75	6.956499670402127
	15.25	84.0	6.393477257745569
	15.25	84.25	5.890115359261722
	15.25	84.5	5.517350032959777
	15.25	84.75	5.75847725774556
	15.25	85.0	6.8051878707976625
	15.25	85.25	7.830082399472657
	15.25	85.5	7.890438365194479
	15.25	85.75	8.377712590639403
	15.25	86.0	8.410362557679619
	15.25	86.25	8.483424522083045
	15.25	86.5	7.97977587343445
	15.25	86.75	6.519617666446963
	15.25	87.0	4.5357811470006375
	15.25	87.25	3.0994924192485303
	15.25	87.5	2.353932102834543
	15.25	87.75	2.01118984838497
	15.25	88.0	2.0502900461437026
	15.25	88.25	2.1476170072511533
	15.25	88.5	2.4652933421226146
	15.25	88.75	3.1748253131179918
	15.25	89.0	3.8461898483849644
	15.25	89.25	4.0782794990111855
	15.25	89.5	3.9500527356625046
	15.25	89.75	4.068437705998672
	15.25	90.0	4.273523401450252
	15.25	90.25	4.364726433750831
	15.25	90.5	4.24775543836521
	15.25	90.75	4.2574456163480665
	15.25	91.0	4.380949241924841
	15.25	91.25	4.934838497033629
	15.25	91.5	5.3862953197099666
	15.25	91.75	5.409192485168107
	15.25	92.0	5.068922214897812
	15.25	92.25	4.36733025708636
	15.25	92.5	3.514535266974299
	15.25	92.75	2.7814469347396176
	15.25	93.0	2.487920237310488
	15.25	93.25	2.484594594594591
	15.25	93.5	2.7097890573500294
	15.25	93.75	2.937679630850363
	15.25	94.0	3.1272940013183974
	15.25	94.25	3.3092518127883945
	15.25	94.5	3.591835860250495
	15.25	94.75	3.921509558338807
	15.25	95.0	4.301779828609108
	15.25	95.25	4.571143704680298
	15.25	95.5	4.538576137112713
	15.25	95.75	4.200632827949877
	15.25	96.0	3.975517468688209
	15.25	96.25	3.955566908371784
	15.25	96.5	3.7656130520764606
	15.25	96.75	3.7070237310481264
	15.25	97.0	3.7897033618984657
	15.25	97.25	3.817442320369157
	15.25	97.5	4.1181081081081
	15.25	97.75	4.7673005932762
	15.25	98.0	4.7673005932762
	15.25	98.25	5.366687541199735
	15.25	98.5	5.6689321028345505
	15.25	98.75	5.850560316413978
	15.25	99.0	6.233391562294008
	15.25	99.25	6.730678971654583
	15.25	99.5	7.277544495715182
	15.25	99.75	7.979050758075116
	15.25	100.0	8.41046473302572
	15.25	100.25	8.5928773895847
	15.25	100.5	8.76669742913644
	15.25	100.75	8.582626895187873
	15.25	101.0	8.207729070534013
	15.25	101.25	7.817653263019079
	15.25	101.5	7.345065919578105
	15.25	101.75	6.799611074489156
	15.25	102.0	5.985837178642082
	15.25	102.25	4.967570863546477
	15.25	102.5	4.139047462096248
	15.25	102.75	3.6420500988793765
	15.25	103.0	3.170250494396835
	15.25	103.25	2.838147659854981
	15.25	103.5	3.011226104152935
	15.25	103.75	3.487369808833226
	15.25	104.0	3.982831245880016
	15.25	104.25	3.988487145682258
	15.25	104.5	4.346674357284107
	15.25	104.75	4.553856295319723
	15.25	105.0	4.632336849044165
	15.25	105.25	4.564729729729737
	15.25	105.5	4.528091628213569
	15.25	105.75	4.717564271588657
	15.25	106.0	5.181176664469361
	15.25	106.25	6.166865524060667
	15.25	106.5	7.327920237310519
	15.25	106.75	7.688477257745538
	15.25	107.0	7.325807514831917
	15.25	107.25	6.876084377059963
	15.25	107.5	6.659192485168119
	15.25	107.75	6.169518787079741
	15.25	108.0	5.042419248516818
	15.25	108.25	2.8300560316414005
	15.25	108.5	0.9348088332234679
	15.25	108.75	0.1754845088991431
	15.25	109.0	0.011090969017798286
	15.25	109.25	0.005385629531970995
	15.25	109.5	0.16989123269611084
	15.25	109.75	2.414663810151614
	15.25	110.0	6.36427818061966
	15.25	110.25	8.591430454845096
	15.25	110.5	8.229568226763325
	15.25	110.75	8.229568226763325
	15.25	111.0	7.904614370468083
	15.25	111.25	9.517837837837886
	15.25	111.5	12.277659854976928
	15.25	111.75	14.085000000000003
	15.25	112.0	14.485365853658527
	15.25	112.25	14.850418589321027
	15.25	112.5	15.637636783124675
	15.25	112.75	16.393497033618964
	15.25	113.0	16.823467369808835
	15.25	113.25	16.182705998681687
	15.25	113.5	14.823361898483757
	15.25	113.75	13.520171390903155
	15.25	114.0	12.671720500988883
	15.25	114.25	12.080965721819304
	15.25	114.5	11.599228740936079
	15.25	114.75	11.430112063282802
	15.25	115.0	11.311117336848989
	15.25	115.25	11.327679630850339
	15.25	115.5	11.487185234014506
	15.25	115.75	11.881308503625599
	15.25	116.0	12.558141067897166
	15.25	116.25	13.025477916941346
	15.25	116.5	13.167139090309778
	15.25	116.75	13.33392551087673
	15.25	117.0	13.323141067897172
	15.25	117.25	13.838932102834594
	15.25	117.5	14.839887936717254
	15.25	117.75	16.137735662491828
	15.25	118.0	17.0234146341464
	15.25	118.25	16.884911008569546
	15.25	118.5	16.48617336849046
	15.25	118.75	15.962887277521439
	15.25	119.0	15.135616348055404
	15.25	119.25	14.444485827290702
	15.25	119.5	14.158002636783102
	15.25	119.75	14.065520764667186
	15.25	120.0	13.762409360580108
	15.25	120.25	13.409314436387634
	15.25	120.5	13.213925510876786
	15.25	120.75	13.625438365194501
	15.25	121.0	14.310992089650586
	15.25	121.25	14.86256427158862
	15.25	121.5	14.96902109426506
	15.25	121.75	14.469264996704002
	15.25	122.0	13.565019775873417
	15.25	122.25	12.466539222148958
	15.25	122.5	11.608243243243177
	15.25	122.75	11.212524719841777
	15.25	123.0	11.305135135135156
	15.25	123.25	11.305135135135156
	15.25	123.5	11.872824653922223
	15.25	123.75	12.65262689518786
	15.25	124.0	13.337432432432475
	15.25	124.25	13.401074489123316
	15.25	124.5	12.886120632827941
	15.25	124.75	12.36951549110086
	15.25	125.0	12.024288068556318
	15.25	125.25	11.729805537244582
	15.25	125.5	11.203632168754101
	15.25	125.75	10.707521423862863
	15.25	126.0	10.789709953856292
	15.25	126.25	11.568599208965075
	15.25	126.5	12.080464733025657
	15.25	126.75	11.759765985497728
	15.25	127.0	10.788984838497026
	15.25	127.25	9.33475939353986
	15.25	127.5	7.330056031641373
	15.25	127.75	5.981964403427783
	15.25	128.0	6.171763348714587
	15.25	128.25	7.629258404746268
	15.25	128.5	9.614673698088334
	15.25	128.75	11.533447593935355
	15.25	129.0	13.183029004614331
	15.25	129.25	14.513503625576787
	15.25	129.5	14.595952537903756
	15.25	129.75	15.656812788398076
	15.25	130.0	16.49545154911019
	15.25	130.25	16.529294660514093
	15.25	130.5	15.692251153592585
	15.25	130.75	14.478305866842407
	15.25	131.0	13.527389584706658
	15.25	131.25	13.009815425181277
	15.25	131.5	12.432771918259718
	15.25	131.75	11.657086354647364
	15.25	132.0	10.721512854317748
	15.25	132.25	10.08690177982865
	15.25	132.5	9.66364535266976
	15.25	132.75	9.456974291364595
	15.25	133.0	9.129278180619663
	15.25	133.25	8.710735003295964
	15.25	133.5	8.217781806196438
	15.25	133.75	7.6767435728411435
	15.25	134.0	7.21197099538564
	15.25	134.25	6.937656558998007
	15.25	134.5	6.476470006591933
	15.25	134.75	5.262495056031663
	15.25	135.0	2.8507547791694154
	15.25	135.25	1.0416084377059984
	15.25	135.5	0.35546802900461455
	15.25	135.75	0.2372742254449572
	15.25	136.0	0.24165128543177325
	15.25	136.25	0.2074917600527356
	15.25	136.5	0.13935069215557025
	15.25	136.75	0.07619973632168758
	15.25	137.0	0.0307415952537904
	15.25	137.25	0.03234344100197758
	15.25	137.5	0.07844429795649302
